รหัสรายการ,จังหวัด,ชื่อหน่วยงาน,ประเภทสถานที่,รูปแบบการศึกษา,กลุ่มเป้าหมาย,ขอบเขต/รูปแบบการเรียนรู้,อำเภอ,ตำบล,พิกัดที่ตั้ง,แถวต้นฉบับ,ข้อควรตรวจสอบ
TZD-5DEC3559BD,นครนายก,ศูนย์พัฒนาครอบครัวในชุมชน (ศพค.),วิชาชีวิต,ตามอัธยาศัย,เด็ก เยาวชน และครอบครัวในชุมชน,จัดกิจกรรมพัฒนาทักษะชีวิต เช่น การจัดการอารมณ์ การป้องกันการตั้งครรภ์ไม่พร้อมในวัยรุ่น,,,45 ตำบล 4 อำเภอ,100,
TZD-AC6C1FFF3B,นครปฐม,สถาบันพัฒนาฝึมือแรงงาน 16 นครปฐม,วิชาชีพ,นอกระบบ/ตามอัธยาศัย,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,ฝึกอาชีพสาขาต่างๆ เช่น ช่างไฟฟ้า ทำขนม ฯลฯ และหลักสูตระยะสั้น,เมืองนครปฐม,บางเลน,ตำบลบางเลน อำเภอดอนตูม,101,
TZD-A0239CA600,นครปฐม,วิทยาลัยอาชีวศึกษานครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,102,
TZD-CBFC31E41D,นครปฐม,วิทยาลัยเทคนิคนครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,103,
TZD-13211876F9,นครปฐม,วิทยาลัยเทคโนโลยีพัฒนบริหารธุรกิจ,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,104,
TZD-28E3DD5F01,นครปฐม,วิทยาลัยสารพัดช่างนครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,105,
TZD-938BE7E1DA,นครปฐม,ช่างสำรวจนครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,106,
TZD-A33C934CF4,นครปฐม,วิทยาลัยเทคโนโลยีนครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,107,
TZD-9C4EDE1A99,นครปฐม,สถาบันการอาชีวศึกษาภาคกลาง 4,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,108,
TZD-D431FD4A26,นครปฐม,วิทยาลัยอาชีวศึกษา ทน. นครปฐม,วิชาการ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,เมืองนครปฐม,,อำเภอเมือง,109,
TZD-019DFF420D,นครปฐม,วิทยาลัยอาชีพบางแก้วฟ้า,วิชาชีพ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,นครชัยศรี,,อำเภอนครชัยศรี,110,
TZD-009EA35AD6,นครปฐม,วิทยาลัยเทคโนโลยีบริหารธุรกิจนครปฐม,วิชาชีพ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,นครชัยศรี,,อำเภอนครชัยศรี,111,
TZD-12407B0E2E,นครปฐม,วิทยาลัยเทคโนโลยีนาคประสิทธิ์บริหารธุรกิจ,วิชาชีพ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,สามพราน,,อำเภอสามพราน,112,
TZD-7A9D712158,นครปฐม,วิทยาลัยอาชีพนครปฐม,วิชาชีพ,ในระบบ,นักเรียนที่จบการศึกษาภาคบังคับ (ม.3),ฝึกอาชีพ วิชาชีพ ตามหลักสูตร,สามพราน,,อำเภอสามพราน,113,
TZD-D85DF3DD3E,นครปฐม,ศูนย์การเรียนรู้ชุมชนระดับตำบล (ศกร ระดับตำบล),วิชาการ,นอกระบบ/ตามอัธยาศัย,เด็กและเยาวชนนอกระบบ,จัดการศึกษาขั้นพื้นฐาน และเกี่ยวข้องกับทักษะอาชีพ,,,ทุกตำบล,114,
TZD-42E4E4E65D,นครปฐม,ศูนย์พัฒนาเด็กเล็ก (ศพด),วิชาการ,ในระบบ,เด็กปฐมวัย,จัดการศึกษาสำหรับเด็กปฐมวัย (2-4 ขวบ),,,อปท 112 แห่ง ใน 7 อำเภอ,115,
TZD-81241E26B4,นครปฐม,โรงเรียนในสังกัด อปท,วิชาการ,ในระบบ,เด็กอายุ 3 - 18 ปี,จัดการศึกษาขั้ั้นพื้นฐานให้เด็กนักเรียนตั้งแต่ 3-18 ปี,,,ทุกอำเภอ ยกเว้นอำเภอพุทธมลฑล,116,
TZD-AEED4A71AD,นครปฐม,ศูนย์การศึกษาพิเศษ,วิชาการ,ในระบบ,เด็กพิการหรือมีความบกพร่องทางการเรียนรู้,จัดการศึกษาสำหรับเด็กและเยาวชนที่พิการ,สามพราน,ล้อมใหญ่,ตำบลล้อมใหญ่ อำเภอสามพราน,117,
TZD-5E564DE8BC,นครปฐม,มหาวชิราลงกรณบาลีเถรวาทราชวิทยาลัย,วิชาชีวิต,นอกระบบ,เด็กและเยาวชนอายุไม่เกิน 18 ปี,จัดการเรียนการสอนตามหลักสูตรบาลี ประวัติศาสตร์,กำแพงแสน,,อำเภอกำแพงแสน,118,
TZD-1E8255DED8,นครพนม,สกร.นครพนม,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,จัดกิจกรรมพัฒนาทักษะชีวิต (หลักสูตรระยะสั้น),,,สกร.ของทุกอำเภอ,119,
TZD-D2DA77944D,นครพนม,สกร.อำเภอเมือง,วิชาการ,นอกระบบ,อายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศีกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,เมืองนครพนม,ในเมือง,ต.ในเมือง อ.เมือง จ.นครพนม,120,
TZD-CC5A959422,นครพนม,สำนักงานเขตพื้นที่การศึกษานครพนม,วิชาการ,นอกระบบ,เด็กและเยาวชนอายุต่ำกว่า 15 ปี,จัดการเรียนการสอนเพื่อเทียบระดับการศีกษาขั้นพื้นฐาน,เมืองนครพนม,ในเมือง,ต.ในเมือง อ.เมือง จ.นครพนม,121,
TZD-068B1582F5,นครพนม,โรงเรียนพระปริยธรรมฯ วัดพระธาตุพนม,วิชาการ,ในระบบ,"พระ, เณร, เยาวชน",จัดการศึกษาแผนสามัญ (ระดับมัธยมต้น-ปลาย),ธาตุพนม,,อ.ธาตพนม,122,
TZD-B8CC9BD4F8,นครพนม,สถาบันพัฒนาทักษะฝีมือแรงงานนครพนม,วิชาชีพ,ตามอัธยาศัย,เด็กอายุ 15 ปีขึ้นไป จบม.3 เยาวชนที่ต้องการพัฒนาทักษะอาชีพ,ฝึกอาชีพระยะสั้น,เมืองนครพนม,,อ.เมือง,123,
TZD-66EC6F380B,นครราชสีมา,โรงเรียนบ้านโกรกลึก,วิชาการ,ในระบบ,เด็กประถม,"การปฏิรูปการเรียนรู้เชิงระบบ โดยใช้แนวทาง ""จิตศึกษา"" โดยใช้โครงการงานเป็นฐาน (PBL) และสร้างชุมชนแห่งการเรียนรู้ทางวิชาชีพ (PLC) เพื่อพัฒนาศักยภาพของผู้เรียนอย่างยั่งยืน",ด่านขุนทด,ตะเคียน,ตำบลตะเคียน อำเภอด่านขุนทด,124,
TZD-63B5142528,นครราชสีมา,ศูนย์การเรียนรู้ตำบล,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพ เพื่อใช้ในการประกอบอาชีพ,ฝึกอบรมทักษะ หลักสูตรระยะสั้น,,,ตามแต่ละตำบล,125,
TZD-20A6EFC552,นครราชสีมา,สถาบันพัฒนาฝีมือแรงงาน,วิชาชีพ,ในระบบ,เยาวชนที่ต้องการมีทักษะอาชีพ เพื่อใช้ในการประกอบอาชีพ,ฝึกอบรมทักษะ หลักสูตรระยะสั้น,,,-,126,
TZD-4CF587C89C,นครราชสีมา,"วิทยาลัยอาชีวศึกษา, เทคนิค",วิชาชีพ,ในระบบ,เยาวชนที่ต้องการมีทักษะอาชีพ เพื่อใช้ในการประกอบอาชีพ,ฝึกอบรมทักษะ หลักสูตรระยะสั้น,,,-,127,
TZD-F6679303FD,นครราชสีมา,สถาบันพลังจิตตานุภาพ สาขา 90 วัดป่าสาลวัน นครราชสีมา,วิชาชีวิต,ตามอัธยาศัย,ประชาชนทั่วไป,หลักสูตรครูสมาธิ,เมืองนครราชสีมา,ในเมือง,ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช,128,
TZD-2EE570053D,นครศรีธรรมราช,วิทยาลัยสารพัดช่าง,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองนครศรีธรรมราช,,อำเภอเมืองนครศรีธรรมราช,129,
TZD-D2347E705D,นครศรีธรรมราช,สถาบันพัฒนาฝีมือแรงงาน,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการฝึกอาชีพ,ฝึกอบรมอาชีพระยะสั้น,เมืองนครศรีธรรมราช,,อำเภอเมืองนครศรีธรรมราช,130,
TZD-2A2E899A8F,นครศรีธรรมราช,วิทยาลัยเกษตรและเทคโนโลยีนครศรีธรรมราช,วิชาชีพ,ในระบบ,เยาวชนที่ต้องการเข้าศึกษา,จัดการเรียนการสอนสายอาชีพ,ช้างกลาง,,อำเภอช้างกลาง,131,
TZD-7A47295746,นครศรีธรรมราช,วิทยาลัยพยาบาล,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการเข้าศึกษา,ฝึกอบรมอาชีพผู้ช่วยพยาบาล,เมืองนครศรีธรรมราช,,อำเภอเมืองนครศรีธรรมราช,132,
TZD-4FC4FADBB6,นครศรีธรรมราช,ศูนย์พัฒนาครอบครัวในตำบล,วิชาชีวิต,ตามอัธยาศัย,เด็กและเยาวชนในชุมชน,จัดกิจกรรมพัฒนาทักษะชีวิต,,,ทุกตำบล,133,
TZD-62385967B6,นครศรีธรรมราช,ศูนย์การศึกษาพิเศษนครศรีธรรมราช,วิชาชีวิต,ในระบบ,เด็กพิเศษ,จัดการเรียนการสอนให้เด็กพิเศษ,พระพรหม,,อำเภอพระพรหม,134,
TZD-4BD361DDD9,นครศรีธรรมราช,สกร. อำเภอทั้ง 23 อำเภอ,วิชาการ,นอกระบบ,เยาวชนอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาขั้นพื้นฐาน และการศึกษาต่อเนื่อง,,,ทุกอำเภอ,135,
TZD-F3A73221AD,นครศรีธรรมราช,ศูนย์การเรียนรู้โรงเรียนมือถือ,วิชาการ,นอกระบบ,เยาวชนอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่ื่อเทียบระดับการศึกษาขั้นพื้นฐาน,ท่าศาลา,,อำเภอท่าศาลา,136,
TZD-B0FA628359,นครสวรรค์,สำนักงานส่งเสริมการเรียนรู้ประจำจังหวัด/อำเภอ,วิชาการ,ในระบบ,เด็กและเยาวชนนอกระบบการศึกษาที่อายุ 15 ปีขึ้นไป,จัดการเรียนการสอนขั้นพื้นฐาน,,,ทุกอำเภอในจังหวัดนครสวรรค์,137,
TZD-48D4CBF92E,นครสวรรค์,สำถาบันพัฒนาฝีมือแรงงาน 8 นครสวรรค์,วิชาชีพ,ตามอัธยาศัย,1) เด็กและเยาวชนที่จบ ม.3 และยังไม่ได้เรียนต่อ 2) กลุ่มเด็กและเยาวชนที่ต้องการทักษะในการประกอบอาชีพ,ส่งเสริมและพัฒนาทักษะฝีมือแรงงานในพื้นที่จังหวัดนครสวรรค์ เช่น ช่างไฟฟ้า ช่างเชื่อม ช่างยนต์,เมืองนครสวรรค์,นครสวรรค์ออก,159 หมู่ 1 ถนนสายเอเซีย ตำบลนครสวรรค์ออกอำเภอเมือง จังหวัดนครสวรรค์,138,
TZD-3128B4CD28,นครสวรรค์,วิทยาลัยเทคนิคนครสวรรค์,วิชาชีพ,ในระบบ,เด็กอายุ 15 ปีที่จบการศึกษาชั้นม.3 และเรียนต่อในสายปวช. ปวส.,จัดการเรียนการสอนในการฝึกอบรมวิชาชีพ โดยเพิ่มพัฒนากำลังคน,,,,139,
TZD-3C303F7F8F,นครสวรรค์,วิทยาลัยอาชีวศึกษานครสวรรค์,วิชาชีพ,ในระบบ,เด็กอายุ 15 ปีที่จบการศึกษาชั้นม.3 และเรียนต่อในสายปวช. ปวส.,จัดการเรียนการสอนในการฝึกอบรมวิชาชีพ โดยเพิ่มพัฒนากำลังคน,,,,140,
TZD-3B8670F2C9,นครสวรรค์,วิทยาลัยเกษตรและเทคโนโลยี,วิชาชีพ,ในระบบ,เด็กอายุ 15 ปีที่จบการศึกษาชั้นม.3 และเรียนต่อในสายปวช. ปวส.,จัดการเรียนการสอนในการฝึกอบรมวิชาชีพ โดยเพิ่มพัฒนากำลังคน,,,,141,
TZD-9C03D21D66,นครสวรรค์,วิทยาลัยการอาชีพบรรพตพิสัย,วิชาชีพ,ในระบบ,เด็กอายุ 15 ปีที่จบการศึกษาชั้นม.3 และเรียนต่อในสายปวช. ปวส.,จัดการเรียนการสอนในการฝึกอบรมวิชาชีพ โดยเพิ่มพัฒนากำลังคน,,,,142,
TZD-5B2EBF7352,นครสวรรค์,วิทยาลัยการอาชีพนครสวรรค์,วิชาชีพ,ในระบบ,เด็กอายุ 15 ปีที่จบการศึกษาชั้นม.3 และเรียนต่อในสายปวช. ปวส.,จัดการเรียนการสอนในการฝึกอบรมวิชาชีพ โดยเพิ่มพัฒนากำลังคน,,,,143,
TZD-8CC98F9AD0,นครสวรรค์,โรงเรียนเอกชนนอกระบบการศึกษา เช่น ศิลปะ กีฬา ดนตรี วิชาชีพ ทำอาหาร,วิชาชีวิต,นอกระบบ,ผู้ที่มีความสนใจ,จัดการเรียนการสอนแบบยืดหยุ่นตามความต้องการของผู้เรียน,,,,144,
TZD-57BB27A4DE,นนทบุรี,ศูนย์การเรียนรู้ระดับตำบล,วิชาการ,นอกระบบ,เด็กและเยาวชนอายุ 15 ปีขึ้นไป,จัดการเรียนรู้เพื่อคุณวุฒิตามระดับ,,,ตำบลในจ.นนทบุรี,145,
TZD-3F941CBC96,นนทบุรี,วิทยาลัยเทคโนโลยีปัญญาภิวัฒน์,วิชาการ,ในระบบ,,,,,,146,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-CCB2E6C9BA,นนทบุรี,วิทยาลัยเทคนิคนนทบุรี,วิชาการ,ในระบบ,,,,,,147,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-DAE738695C,นนทบุรี,สถาบันพัฒนาฝีมือแรงงาน,วิชาชีพ,นอกระบบ,เด็กและเยาวชนที่จบการศึกษาภาคบังคับไม่มีงานทำ,ฝึกอบรมหลักสูตรระยะสั้นและระยะยาว เช่น ช่างซ่อม ช่างตัดผม,บางใหญ่,บางม่วง,ต.บางม่วง อ.บางใหญ่,148,
TZD-0CDDC8BC7C,นนทบุรี,แหล่งการเรียนรู้ชุมชนเกาะเกร็ด,วิชาชีวิต,ตามอัธยาศัย,เด็กและเยาวชนในจ.นนทบุรี,การเรียนรู้ตลอดชีวิต,ปากเกร็ด,,อ.ปากเกร็ด,149,
TZD-300294BF1C,นนทบุรี,ศูนย์การเรียนรู้เศรษฐกิขพอเพียง (สวนลุยต่อ),วิชาชีวิต,ตามอัธยาศัย,,,เมืองนนทบุรี,,อ.เมือง,150,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-A58B89B266,นนทบุรี,ศูนย์การเรียนรู้บ้านวัดแดง,วิชาชีวิต,ตามอัธยาศัย,,,เมืองนนทบุรี,,อ.เมือง,151,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-72F7B3258F,นนทบุรี,สหกิจชุมชน 8 ไร่,วิชาชีวิต,ตามอัธยาศัย,,,,,อ.เมือง,152,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-AB9F61FF02,นนทบุรี,หมู่บ้านท่องเที่ยว OTOP,วิชาชีวิต,ตามอัธยาศัย,,,,,ทุกชุมชนในจ.นนทบุรี,153,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-A999174C11,นราธิวาส,สกร อำเภอ (ประจำอำเภอ),วิชาการ,นอกระบบ,เด็กอายุ 15 ปีขึ้นไป,เทียบการศึกษาขั้นพื้นฐาน การศึกษาต่อเนื่อง,,,13 อำเภอ,154,
TZD-D475DE66CF,นราธิวาส,สพร. 25 นราธิวาส,วิชาชีพ,ตามอัธยาศัย,เด็กอายุ 15 ปีขึ้นไป,การเรียน การสอนทักษะอาชีพ,เมืองนราธิวาส,,เมืองนราธิวาส,155,
TZD-83761DCF03,นราธิวาส,ศพด,วิชาชีวิต,ตามอัธยาศัย,เด็กและครอบครัว,จัดกิจกรรมทักษะชีวิตครอบครัว,เมืองนราธิวาส,,เมืองนราธิวาส,156,
TZD-82C9E8433D,นราธิวาส,ศูนย์การศึกษาพิเศษประจำจังหวัด/อำเภอ,วิชาชีวิต,ในระบบ,เด็กพิการ,จัดการศึกษาสำหรับเด็กพิการ,,,13 อำเภอ,157,
TZD-224DF4E497,นราธิวาส,ศูนย์ฝึกอาชีพพระราชทาน,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการฝึกอาชีพ,ฝึกอบรมทักษะอาชีพ,,,รร ราชประชานุเคราะห์,158,
TZD-69363ABCDD,น่าน,สกร.จังหวัดน่าน,วิชาการ,,"เยาวชน, ผู้ใหญ่, ผู้ไม่รู้หนังสือ",การศึกษานอกระบบ/ ต่อเนื่อง พัฒนาทักษะชีวิต,เมืองน่าน,ในเวียง,ต.ในเวียง อ.เมืองน่าน จ.น่าน,159,ยังไม่ระบุรูปแบบการศึกษา
TZD-31DC0EB588,น่าน,วิทยาลัยเทคนิคน่าน,วิชาการ,ในระบบ,นักเรียนและนักศึกษา,"การศึกษาอาชีวศึกษา, วิชาชีพเฉพาะทาง",เมืองน่าน,,อ.เมือง จ.น่าน,160,
TZD-96C2A00103,น่าน,วิทยาลัยชุมชนน่าน,วิชาการ,,ประชาชน นักศึกษา,"การศึกษาระดับอนุปริญญา, พัฒนาทักษะอาชีพ",เมืองน่าน,,อ.เมือง จ.น่าน,161,ยังไม่ระบุรูปแบบการศึกษา
TZD-D2B22F4F54,น่าน,ศูนย์การเรียนรู้นันทสิปปาคาร จังหวัดน่าน พื้นที่ส่งเสริม ...,วิชาการ,,"เด็กและเยาวชน, ประชาชน, ผู้สนใจด้านศิลปะ","การเรียนรู้ด้านศิลปวัฒนธรรม, งานหัตถกรรมและภูมิปัญญาท้องถิ่น ้ช่น การวาดภาพ งานประดิษฐ์ งานฝีมือพื้นบ้าน",เมืองน่าน,ในเวียง,ต.ในเวียง อ.เมืองน่าน จ.น่าน,162,ยังไม่ระบุรูปแบบการศึกษา
TZD-ADF0B3B248,น่าน,สำนักงานพัฒนาฝีมือแรงงาน,วิชาชีพ,,แรงงาน ประชาชน,ฝึกอบรมอาชีพ/ ยกระดับทักษะแรงงาน,เมืองน่าน,,อ.เมือง,163,ยังไม่ระบุรูปแบบการศึกษา
TZD-CCD74202B8,น่าน,กลุ่มทอผ้าพื้นเมือง/ ผ้าล้านนา,วิชาชีพ,,ชุมชน กลุ่มสตรี,"การทอผ้า, การย้อมสีธรรมชาติ",ปัว,บ่อเกลือ,อ.ปัว บ่อเกลือ,164,ยังไม่ระบุรูปแบบการศึกษา
TZD-5FE6368B9D,น่าน,รพ.สต.,วิชาชีวิต,,ประชาชนทุกช่วงวัย,สุขภาพ โภชนาการ ป้องกันโรค,,,ทุกตำบล,165,ยังไม่ระบุรูปแบบการศึกษา
TZD-8E64B46A91,น่าน,อบต./ เทศบาล,วิชาชีวิต,,ประชาชน,การพัฒนาชีวิตแวดล้อม,,,ทุกพื้นที่,166,ยังไม่ระบุรูปแบบการศึกษา
TZD-8907850276,บุรีรัมย์,สกร อำเภอ,วิชาการ,ตามอัธยาศัย,เด็กอายุ 15 ปี ขึ้นไป,"ประถมต้น-ปลาย, มัธยมศึกษาตอนต้น-ปลาย",,,,167,
TZD-0AAB0F93BE,บุรีรัมย์,โรงเรียนสังกัดสพฐ,วิชาการ,ในระบบ,3 - 18 ปี,อนุบาล - ม. 6,,,,168,
TZD-F850C32202,บุรีรัมย์,โรงเรียนสังกัดเอกชน,วิชาการ,ในระบบ,3 - 18 ปี,อนุบาล - ม. 6,,,,169,
TZD-661BB1FE8E,บุรีรัมย์,วิทยาลัยอาชีวะในจังหวัดบุรีรัมย์,วิชาชีพ,ในระบบ,นศ อายุ 15 - 21 ปี,ปวช-ปริญญาตรี,,,12 อำเภอ,170,
TZD-819A860687,บุรีรัมย์,สถาบันพัฒนาฝีมือแรงงานเขต 37,วิชาชีพ,นอกระบบ,ขึ้นอยู่กับโครงการฯ,ผู้สนใจสมัครเรียน,เมืองบุรีรัมย์,,1 อำเภอ (อำเภอเมือง),171,
TZD-099ADBB1D4,บุรีรัมย์,โรงเรียนเอกชนนอกระบบ เช่น รร สอนดนตรี รร สอนนวดแผนไทย,วิชาชีพ,นอกระบบ,ผู้สนใจสมัครเรียน,ผู้สนใจสมัครเรียน,เมืองบุรีรัมย์,,1 อำเภอ (อำเภอเมือง),172,
TZD-0705734EDB,บุรีรัมย์,ศูนย์เรียนรู้เศรษฐกิจพอเพียง,วิชาชีวิต,นอกระบบ,ผู้สนใจศึกษา,ผู้สนใจเข้าศึกษา,ห้วยราช,,1 อำเภอ (อำเภอห้วยราช),173,
TZD-250902BE0E,ปทุมธานี,ศูนย์ สกร. ตำบล,วิชาการ,นอกระบบ,เด็กอายุตั้งแต่ 15 ปีขึ้นไป,จัดการเรียนการสอนขั้นพื้นฐาน,ลำลูกกา,ลำลูกกา,ต.ลำลูกกา อ.ลำลูกกา จ.ปทุมธานี,174,
TZD-C89B900E2F,ปทุมธานี,วิทยาลัยการอาชีวศึกษา จ.ปทุมธานี,วิชาชีพ,ในระบบ,เด็กที่ต้องการฝึกทักษะอาชีพ,หลักสูตรต่อเนื่องเชื่อมโยง,เมืองปทุมธานี,,อ.เมือง จ.ปทุมธานี,175,
TZD-AAB15A2F15,ปทุมธานี,สถาบันพัฒนาฝีมือแรงงาน 14 ปทุมธานี,วิชาชีวิต,ตามอัธยาศัย,เด็กและเยาวชนอายุ 15-25 ปี,หลักสูตรระยะสั้น ฝึกอาชีพ เพื่อการมีงานทำ,ธัญบุรี,,อ.ธัญบุรี จ.ปทุมธานี,176,
TZD-39C083634D,ปัตตานี,กศน.,วิชาการ,ตามอัธยาศัย,เด็กกลุ่มเป้าหมายทั่วไปที่ต้องการเรียนรู้,หลักสูตรที่สกร.กำหนด,เมืองปัตตานี,,อ.เมืองปัตตานี,177,
TZD-14A1F7EFB6,ปัตตานี,สถาบันพัฒนาฝีมือแรงงานจังหวัด,วิชาชีพ,ในระบบ,เด็กกลุ่มเป้าหมายที่ไม่ต้องการศึกษาต่อ,หลักสูตรที่เหมาะสมตามที่สถาบันพัฒนาฝีมือแรงงานกำหนด,เมืองปัตตานี,,อ.เมืองปัตตานี,178,
TZD-D2EF8AAC45,ปัตตานี,บริษัทเอกชนที่ทำ MOU ร่วมกับโครงการ TZD จังหวัดปัตตานี,วิชาชีวิต,นอกระบบ,เด็กกลุ่มเป้าหมายทั่วไปที่ต้องการเรียนรู้,ทำงานในสถานที่จริงโดยมีระบบติดตามและประเมินผลตามรอบ,เมืองปัตตานี,,อ.เมืองปัตตานี,179,
TZD-B7C79BB5C5,พระนครศรีอยุธยา,ศูนย์การส่งเสริมการเรียนรู้,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบการศึกษา อายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาขั้นพื้นฐาน และการศึกษาต่อเนื่อง,,,ทุกๆ อำเภอในจังหวัด,180,
TZD-64A757F7BB,พระนครศรีอยุธยา,สถาบันพัฒนาฝีมือแรงงาน 15,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพระยะสั้น,นครหลวง,บางระกำ,ตำบลบางระกำ อำเภอนครหลวง,181,
TZD-C9173C71CC,พระนครศรีอยุธยา,จัดนิเวศประวัติ (วิทยาลัยเสริมทักษะ พระภิกษุ สามเณร),วิชาชีวิต,ตามอัธยาศัย,เด็กและเยาวชนอายุ 12 ปีขึ้นไป,การปฏิบัติธรรม,บางปะอิน,บ้านเลน,ตำบลบ้านเลน อำเภอบางปะอิน,182,
TZD-16A8D40D9B,พะเยา,สกร.อำเภอเมือง,วิชาการ,นอกระบบ,ประชาชนทุกช่วงวัย,"จัดการเรียนรู้ 3 รูปแบบ, 1.การเรียนรู้ตลอดชีวิต, 2.การเรียนรู้เพื่อการพัฒนาตนเอง, 3.การเรียนรู้เพื่อคุณวุฒิตามระดับ",เมืองพะเยา,บ้านต๋อม,ต.บ้านต๋อม อ.เมืองพะเยา จ.พะเยา,183,
TZD-EFFA5BFFF8,พะเยา,สถาบันพัฒนาฝีมือแรงงานจังหวัดพะเยา,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการฝึกทักษะอาชีพแรงงานนอกระบบ,ฝึกอบรมทักษะอาชีพเป็นหลักสูตรระยะสั้น,เมืองพะเยา,แม่กา,ต.แม่กา อ.เมืองพะเยา จ.พะเยา,184,
TZD-9121B0A4AF,พะเยา,ศูนย์ส่งเสริมคุณภาพชีวิตทุกช่วงวัย,วิชาชีวิต,ตามอัธยาศัย,3 ช่วงวัย เด็ก/ผู้ใหญ่/ผู้สูงอายุ,จัดกิจกรรมพัฒนาทักษะชีวิต การฝึกทักษะวิชาชีพ โดยเสริมสร้างคุณภาพชีวิต ตามนโยบายลดรายจ่ายเพิ่มรายได้,เมืองพะเยา,บ้านใหม่,โรงเรียนบ้านโป่ง ต.บ้านใหม่ อ.เมืองพะเยา จ.พะเยา,185,
TZD-32603A9D48,พังงา,ศกร. ระดับอำเภอ,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบการศึกษา อายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาขั้นพื้นฐาน และการศึกษาต่อเนื่อง,,,8 อำเภอ 48 ตำบล ในจังหวัดพังงา,186,
