รหัสรายการ,จังหวัด,ชื่อหน่วยงาน,ประเภทสถานที่,รูปแบบการศึกษา,กลุ่มเป้าหมาย,ขอบเขต/รูปแบบการเรียนรู้,อำเภอ,ตำบล,พิกัดที่ตั้ง,แถวต้นฉบับ,ข้อควรตรวจสอบ
TZD-202766C121,ชุมพร,วิทยาลัยเกษตรและเทคโนโลยีชุมพร,วิชาชีพ,ในระบบ,เยาวชนอายุ 15 ปีขึ้นไป และประชาชนทั่วไป,ปวช/ปวส ฝึกอาชีพระยะสั้น โครงการในพระราชดำริ,,,-,59,
TZD-88255EC8BC,ชุมพร,วิทยาลัยประมงชุมพร,ยังไม่ระบุ,,,กระเช้าอาชีพ,,,,60,ยังไม่ระบุประเภทสถานที่; ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-64938DA033,ชุมพร,สนน,วิชาชีพ,ในระบบ,เยาวชน (วุฒิ ม.3) อายุ 18 ปีขึ้นไป,โครงการเพิ่มทักษะอาชีพแก่นักเรียนที่ไม่ฝึกอาชีพระยะสั้น,เมืองชุมพร,ปากน้ำ,ต. ปากน้ำ อ เมืองชุมพร,61,
TZD-CCDDD66D91,ชุมพร,หน่วยงานในสังกัดกระทรวงแรงงาน,วิชาชีพ,ในระบบ,กลุ่มผู้สูงอายุ แรงงานนอกระบบ กลุ่มเปราะบาง และประชาชนทั่วไป,ฝึกอาชีพระยะสั้น รับงานไปทำที่บ้าน,เมืองชุมพร,,อ เมืองชุมพร,62,
TZD-A6435DD77B,ชุมพร,สพม/สพป.ชพ เขต 1 / สพป.ชม. เขต 2 สถานศึกษาเอกชน/ สถานศึกษาสังกัด อปท/ศพด,วิชาการ,ในระบบ,เด็กและเยาวชนที่ประสงค์ศึกษาต่อในระบบ,ระดับอนุบาล/ประถม/มัธยมศึกษา,,,จ ชุมพร,63,
TZD-1AABD460FA,ชุมพร,สกร,วิชาชีพ,ในระบบ,-,ประถมศึกษา/ มัธยมศึกษาตอนต้น-ปลาย/ฝึกอาชีพระยะสั้น,,,-,64,
TZD-6AC7682BC7,ชุมพร,สถาบันศึกษาทางไกล,ยังไม่ระบุ,,,,,,ส่วนกลาง,65,ยังไม่ระบุประเภทสถานที่; ยังไม่ระบุรูปแบบการศึกษา; ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-46F22955AB,ตราด,สกร ระดับอำเภอทุกแห่ง,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อยกระดับการศึกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,,,7 อำเภอ,66,
TZD-5E6EB2D476,ตราด,โรงเรียนบ้านไม้รูด,วิชาการ,ในระบบ,เด็กและเยาวชนที่หลุดออกนอกระบบ,จัดการเรียนรู้ 3 รูปแบบ,คลองใหญ่,ไม้รูด,ตำบลไม้รูด อ คลองใหญ่,67,
TZD-5B3D0C7CD5,ตราด,โรงเรียนวัดคีรีวิหาร,วิชาการ,ในระบบ,เด็กและเยาวชนที่หลุดออกนอกระบบ,จัดการเรียนรู้ 3 รูปแบบ,เมืองตราด,ชำราก,ตำบล ชำราก อ เมืองตราด,68,
TZD-92B39EE668,ตราด,โรงเรียนเขาน้อยวิทยาคม,วิชาการ,ในระบบ,เด็กและเยาวชนในระบบ,ส่งเสริมอาชีพ,เมืองตราด,ห้วยแรง,ตำบลห้วยแร้ง อ เมืองตราด,69,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-0056648519,ตราด,วิทยาลัยเทคนิคตราด,วิชาชีพ,ในระบบ,เยาวชนอายุ 15 ปีขึ้นไป (จบการศึกษาภาคบังคับ) เยาวชนและแรงงานนอกระบบ,การจัดการเรียนการสอนอาชีพ,เมืองตราด,บางพระ,ตำบลบางพระ อ เมือง,70,
TZD-F1D8245817,ตราด,สถาบันพัฒนาฝีมือแรงงาน 33,วิชาชีพ,นอกระบบ,"เยาวชนที่ต้องการทักษะ, แรงงานนอกระบบ","ฝึกอบรมทักษะอาชีพระยะสั้น (ช่างเชื่อม, ช่างแอร์, ช่างเย็บผ้า, ช่างยนต์)",บ่อไร่,นนทรีย์,ตำบล นนทรีย์ อำเภอบ่อไร่,71,
TZD-A779B29FE9,ตราด,วิทยาลัยสารพัดช่าง,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะ และแรงงานนอกระบบ,การจัดการเรียนการสอนอาชีพระยะสั้น,เมืองตราด,บางพระ,ตำบลบางพระ อำเภอเมือง,72,
TZD-631529A0D9,ตราด,วิทยาลัยอาชีพบอไร่,วิชาชีพ,นอกระบบ,เยาวชนที่ต้องการมีทักษะ,ฝึกอบรมทักษะอาชีพ,บ่อไร่,ช้างทูน,ตำบลช้างทูน อำเภอบ่อไร่,73,
TZD-A6CE5B220C,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,เมืองตราด,งิ้วกระแจะ,ตำบลงิ้วกระแจะ อำเภอเมือง,74,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-455834DF64,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,เขาสมิง,เขาสมิง,ตำบลเขาสมิง อำเภอเขาสมิง,75,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-244470D754,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,คลองใหญ่,คลองใหญ่,ตำบลคลองใหญ่ อำเภอคลองใหญ่,76,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-F0FDC592D0,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,บ่อไร่,บ่อพลอย,ตำบลบ่อพลอย อำเภอบ่อไร่,77,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-B3B9555EFA,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,เกาะช้าง,บ่อพลอย,ตำบลเกะาช้าง อำเภอเกาะช้าง,78,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-C972CED0E7,ตราด,สกร. ระดับอำเภอทุกแห่ง (ศูนย์ฝึกอาชีพชุมชน),วิชาชีพ,นอกระบบ,เยาวชนและประชาชนที่ต้องการมีทักษะอาชีพ,ฝึกอบรมทักษะอาชีพต่างๆ,เกาะกูด,เกาะกูด,ตำบลเกาะกูด อำเภอเกาะกูด,79,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-5CF6157B23,ตราด,โรงเรียนเขาน้อยวิทยาคม,วิชาชีพ,ในระบบ,เยาวชนที่ต้องการพัฒนาทักษะอาชีพ,ส่งเสริมทักษะอาชีพให้แก่ผู้เรียน,เมืองตราด,ห้วยแร้ง,ตำบลห้วยแร้ง อำเภอเมือง,80,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-059E4559E3,ตาก,สนง. ส่งเสริมการเรียนรู้จังหวัด/อำเภอ/ตำบล (กศน),วิชาการ,นอกระบบ,เยาวชนอายุ 15 ปีขึ้นไป,การศึกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,,,ทุกอำเภอ/ตำบลในจังหวัด,81,
TZD-BF2EACD92B,ตาก,สพฐ (1 โรงเรียน 3 รูปแบบ),วิชาการ,ในระบบ,เด็กและเยาวชน,จัดการเรียน 3 รูปแบบ,,,ตากเขต 2 / แม่สอด สพม. ตาก,82,
TZD-3C760FCFEA,ตาก,วิทยาลัยเทคนิคตาก,วิชาชีพ,ในระบบ,ปวช/ปวส,ฝึกอบรมทักษะวิชาชีพ,เมืองตาก,ป่ามะม่วง,ตำบลป่ามะม่วง อำเภอเมือง,83,
TZD-C5444FEAB6,ตาก,วิทยาลัยการอาชีพบ้านตาก,วิชาชีพ,ในระบบ,ปวช/ปวส,ฝึกอบรมทักษะวิชาชีพอาชีวศึกษา,บ้านตาก,ตากออก,ตำบลตากออก อำเภอบ้านตาก,84,
TZD-3CE0225726,ตาก,สถาบันพัฒนาฝีมือแรงงาน 43 จังหวัดตาก,วิชาชีพ,นอกระบบ,ประชาชน,ฝึกฝนวิชาชีพเพื่อพัฒนาฝีมือแรงงาน,เมืองตาก,น้ำรึม,ตำบลน้ำรึม อำเภอเมือง,85,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-612370825E,ตาก,สถาบันพัฒนาฝีมือแรงงาน 43 จังหวัดตาก,วิชาชีพ,ตามอัธยาศัย,ประชาชน,ฝึกฝนวิชาชีพเพื่อพัฒนาฝีมือแรงงาน,เมืองตาก,น้ำรึม,ตำบลน้ำรึม อำเภอเมือง,86,ชื่อและจังหวัดตรงกับรายการอื่น แต่รายละเอียดต่างกัน
TZD-2498ADAB21,ตาก,สถาบันการอาชีวเกษตรภาค 1,วิชาชีพ,ในระบบ,"ปริญญาตรี, ปวช, ปวส",ฝึกฝนวิชาชีพเพื่อพัฒนาฝีมือแรงงาน,วังเจ้า,ประดาง,ตำบลประดาง อำเภอวังเจ้า,87,
TZD-42EE6591C5,ตาก,ศูนย์การเรียนรู้และขับเคลื่อนปรัชญาเศรษฐกิจพอเพียง,วิชาชีวิต,ตามอัธยาศัย,ประชาชน,การเรียนรู้ปรัชญาเศรษฐกิจพอเพียงในชีวิตประจำวัน,แม่สอด,แม่ปะ,ตำบลแม่ปะ อำเภอแม่สอด,88,
TZD-3380A22152,ตาก,ศูนย์การเรียนรู้เศรษฐกิจพอเพียง ร.14 พัน 1,วิชาชีวิต,ตามอัธยาศัย,ประชาชน,การเรียนรู้ปรัชญาเศรษฐกิจพอเพียงในชีวิตประจำวัน,เมืองตาก,แม่รึม,ตำบลแม่รึม อำเภอเมือง,89,
TZD-29F53E3A44,นครนายก,สกร. อ.เมือง,วิชาการ,นอกระบบ,เด็กและเยาวชนนอกระบบการศึกษาอายุ 15 ปีขึ้นไป,จัดการเรียนการสอนเพื่อเทียบระดับการศึกษาขั้นพื้นฐานและการศึกษาต่อเนื่อง,เมืองนครนายก,ท่าช้าง,ต.ท่าช้าง อ.เมือง,90,
TZD-2E5F5A73DD,นครนายก,สกร. อ.บ้านนา,วิชาการ,นอกระบบ,,,บ้านนา,บ้านนา,ต.บ้านนา อ.บ้านนา,91,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-7193004A39,นครนายก,สกร. อ.ปากพลี,วิชาการ,นอกระบบ,,,ปากพลี,เกาะหวาย,ต.เกาะหวาย อ.ปากพลี,92,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-6990C15A48,นครนายก,สกร. อ.องครักษ์,วิชาการ,นอกระบบ,,,องครักษ์,องครักษ์,ต.องครักษ์ อ.องครักษ์,93,ยังไม่ระบุขอบเขต/รูปแบบการเรียนรู้; ยังไม่ระบุกลุ่มเป้าหมาย
TZD-028646915D,นครนายก,วิทยาลัยเทคโนโลยีวีรพัฒน์นครนายก,วิชาชีพ,ในระบบ,ผู้จบม. 3 หรือเทียบเท่า,จัดการเรียนการสอนสายอาชีพ,เมืองนครนายก,นครนายก,ต.เมืองนครนายก อ.เมือง,94,
TZD-D0CF421C61,นครนายก,สำนักงานพัฒนาฝีมือแรงงานจังหวัดนครนายก,วิชาชีพ,นอกระบบ,ประชาชนผู้สนใจและผู้จบม. 3 ทุกช่วงวัย,ฝึกอบรมอาชีพระยะสั้น เช่น ช่างไฟฟ้า ช่างแอร์ เบเกอรี่ ช่างซ่อมรถยนต์ขนาดเล็ก ก่อสร้าง,ปากพลี,ปากพลี,ต.ปากพลี อ.ปากพลี,95,
